scheme,base_width,train_acc,test_acc,params,scheme_type
constant_64,64,0.9790666666666666,0.974,59210,constant
expanding_16_32_64,64,0.9544,0.9546,15866,expanding
narrowing_64_32_16,64,0.9730666666666666,0.9703,53018,narrowing
constant_128,128,0.9845333333333334,0.9717,134794,constant
expanding_32_64_128,128,0.9731166666666666,0.9668,36842,expanding
narrowing_128_64_32,128,0.9823,0.9731,111146,narrowing
constant_256,256,0.9855333333333334,0.9748,335114,constant
expanding_64_128_256,256,0.9804166666666667,0.9721,94154,expanding
narrowing_256_128_64,256,0.9848333333333333,0.9697,242762,narrowing
constant_512,512,0.9850333333333333,0.9757,932362,constant
expanding_128_256_512,512,0.9832166666666666,0.9765,270218,expanding
narrowing_512_256_128,512,0.9863166666666666,0.9806,567434,narrowing
